image_id|source_file|source_number|type|format|contributor|buildings_current|buildings_former|date|photographer|width|height|resolution|physical_size|cd_location|tiff_location|notes|no_students|no_profs|related_image|display_dpi
123|class_unknown_COTC|0|Canadian Officers Training Corps|tiff|Mike Meade, Alex Rogers|||1965-01-01|Joe Stone|9089|7833|||||Circa 1965|0|0||72
124|class_unknown|0|Class|tiff|Mike Meade, Alex Rogers|||1890-01-01||8173|6396|||||Circa 1895|0|0||72
125|class_unknown2|0|Class|tiff|Mike Meade, Alex Rogers|||1896-01-01||12600|9977|||||Circa 1896|0|0||72
126|unbpres|0|Misc|tiff|Mike Meade, Alex Rogers|||0000-00-00||10053|4784|||||Former Presidents of the University of New Brunswick  1811-1892|0|0||72
127|SirJamesDunn_scholars|0|Misc|tiff|Mike Meade, Alex Rogers|||0000-00-00||6172|5001|||||Winners of the Sir James Dunn Scholarship in Geology|0|0|SirJamesDunn_scholars_info|72
128|SirJamesDunn_scholars_info|0|Reverse|tiff|Mike Meade, Alex Rogers|||0000-00-00||||||||News Release|0|0|SirJamesDunn_scholars|72
129|class1909_ALDysart|0|Single|tiff|Mike Meade, Alex Rogers|||1909-01-01||4817|6980|||||Arthur L Dysart|0|0||72
130|class1909_ATCushing|0|Single|tiff|Mike Meade, Alex Rogers|||1909-01-01||4863|6917|||||Allston Tattrie Cushing|0|0||72
131|class1909_BWWelling|0|Single|tiff|Mike Meade, Alex Rogers|||1909-01-01||4777|6739|||||Beatrice Winifred Welling|0|0||72
132|class1909_CMHoar|0|Single|tiff|Mike Meade, Alex Rogers|||1909-01-01||4835|6878|||||Charles M Hoar|0|0||72
133|class1909_CTClark|0|Single|tiff|Mike Meade, Alex Rogers|||1909-01-01||4860|6878|||||Clifford Todd clark|0|0||72
134|class1909_CTFlanagan|0|Single|tiff|Mike Meade, Alex Rogers|||1909-01-01||4762|6836|||||Clairence Theresa Flanagan (Mrs Joseph C Dever)|0|0||72
135|class1909_EHCoy|0|Single|tiff|Mike Meade, Alex Rogers|||1909-01-01||4775|6838|||||Ernest Havelock Coy|0|0||72
136|class1909_FLOrchard|0|Single|tiff|Mike Meade, Alex Rogers|||1909-01-01||4796|6971|||||Frank Leslie Orchard|0|0||72
137|class1909_GHFleming|0|Single|tiff|Mike Meade, Alex Rogers|||1909-01-01||4777|6756|||||Grace H Fleming|0|0||72
138|class1909_LLSmith|0|Single|tiff|Mike Meade, Alex Rogers|||1909-01-01||4704|6765|||||Lillian Lucretia Smith|0|0||72
139|class1909_LLTheriault|0|Single|tiff|Mike Meade, Alex Rogers|||1909-01-01||4890|6908|||||L Leon Theriault|0|0||72
140|class1909_LMcKnight|0|Single|tiff|Mike Meade, Alex Rogers|||1909-01-01||4855|6999|||||Locksley McKnight|0|0||72
141|class1909_MKSmith|0|Single|tiff|Mike Meade, Alex Rogers|||1909-01-01||4706|6823|||||Maud K Smith (Mrs Stuart McNaughton Close)|0|0||72
142|class1909_MLElliott|0|Single|tiff|Mike Meade, Alex Rogers|||1909-01-01||4755|6778|||||Mary Lillian Elliott (Mrs Harry S Day)|0|0||72
143|class1909_NSFraser|0|Single|tiff|Mike Meade, Alex Rogers|||1909-01-01||4816|6863|||||Norman S Fraser|0|0||72
144|class1909_OHStothart|0|Single|tiff|Mike Meade, Alex Rogers|||1909-01-01||4731|6752|||||Olive H Stothart (Mrs Clayton Pincock)|0|0||72
145|class1909_VBrown|0|Single|tiff|Mike Meade, Alex Rogers|||1909-01-01||4798|6868|||||Verna Brown|0|0||72
146|class1909_WGFirth|0|Single|tiff|Mike Meade, Alex Rogers|||1909-01-01||4952|7013|||||William Gordon firth|0|0||72
147|[patterson]|0|Single|tiff|Mike Meade, Alex Rogers|||0000-00-00||||||||[Patterson]|0|0||72
148|class1915_JDaley|0|Single|tiff|Mike Meade, Alex Rogers|||1915-01-01||||||||Joseph Daley|0|0||72
